module_id,title,subtitle,domain,category,status
BIO-001,What Is Health?,"Understanding health as function, resilience, and well-being",Human Biology,Health Foundations,draft-generated
BIO-002,The Human Body as an Integrated System,How biological systems communicate and cooperate,Human Biology,Systems Biology,draft-generated
BIO-003,Levels of Biological Organization,From molecules and cells to the whole person,Human Biology,Foundational Biology,draft-generated
BIO-004,Homeostasis,How the body maintains internal stability,Human Biology,Physiology,draft-generated
BIO-005,Biological Adaptation,How repeated demands change future capacity,Human Biology,Physiology,draft-generated
BIO-006,Cells,The fundamental units of human life,Human Biology,Cell Biology,draft-generated
BIO-007,The Cell Membrane,How cells control exchange and communication,Human Biology,Cell Biology,draft-generated
BIO-008,Cellular Organelles,The specialized structures that keep cells functioning,Human Biology,Cell Biology,draft-generated
BIO-009,DNA,The molecular instructions for human biology,Human Biology,Genetics,draft-generated
BIO-010,Genes and Gene Expression,How biological instructions become cellular function,Human Biology,Genetics,draft-generated
BIO-011,Proteins,"Structure, function, synthesis, and turnover in the human body",Human Biology,Biochemistry,draft-generated
BIO-012,Enzymes,How biological catalysts regulate human chemistry,Human Biology,Biochemistry,draft-generated
BIO-013,Carbohydrates,"Structure, biological roles, storage, and metabolism",Human Biology,Biochemistry,draft-generated
BIO-014,Lipids,"Fats, phospholipids, cholesterol, and cellular function",Human Biology,Biochemistry,draft-generated
BIO-015,Nucleic Acids,"DNA, RNA, nucleotides, and information transfer",Human Biology,Biochemistry,draft-generated
BIO-016,Metabolism,How the body transforms matter and energy,Human Biology,Metabolism,draft-generated
BIO-017,ATP and Cellular Energy,"How cells capture, store, and spend usable energy",Human Biology,Bioenergetics,draft-generated
BIO-018,Cellular Respiration,How nutrients and oxygen are converted into ATP,Human Biology,Bioenergetics,draft-generated
BIO-019,Mitochondria,"Energy production, signaling, quality control, and adaptation",Human Biology,Cell Biology,draft-generated
BIO-020,Cell Communication,"Receptors, signaling pathways, and coordinated cellular responses",Human Biology,Cell Biology,draft-generated
BIO-021,Cell Division,"Mitosis, cell-cycle control, growth, and tissue renewal",Human Biology,Cell Biology,draft-generated
BIO-022,Cell Death,"Apoptosis, necrosis, and controlled removal of damaged cells",Human Biology,Cell Biology,draft-generated
BIO-023,Stem Cells,"Self-renewal, differentiation, and tissue maintenance",Human Biology,Regenerative Biology,draft-generated
BIO-024,Tissue Structure and Function,How specialized cells form functional tissues,Human Biology,Histology,draft-generated
BIO-025,Epithelial Tissue,"Barriers, absorption, secretion, and protection",Human Biology,Histology,draft-generated
BIO-026,Connective Tissue,"Support, transport, repair, and structural integration",Human Biology,Histology,draft-generated
BIO-027,Muscle Tissue,"Skeletal, cardiac, and smooth muscle biology",Human Biology,Histology,draft-generated
BIO-028,Nervous Tissue,"Neurons, glial cells, and rapid information processing",Human Biology,Histology,draft-generated
BIO-029,Organs and Organ Systems,How tissues combine into coordinated functional units,Human Biology,Anatomy and Physiology,draft-generated
BIO-030,Body Cavities and Anatomical Organization,"Orientation, planes, regions, and internal compartments",Human Biology,Anatomy,draft-generated
BIO-031,The Nervous System,"Organization, signaling, sensation, movement, and control",Human Biology,Nervous System,draft-generated
BIO-032,Neurons and Electrical Signaling,"Membrane potential, action potentials, and neural transmission",Human Biology,Neuroscience,draft-generated
BIO-033,Synapses and Neurotransmitters,How neurons communicate across neural networks,Human Biology,Neuroscience,draft-generated
BIO-034,The Brain,"Major structures, functions, integration, and plasticity",Human Biology,Neuroscience,draft-generated
BIO-035,The Spinal Cord and Peripheral Nerves,"Signal pathways, reflexes, and body-wide neural control",Human Biology,Neuroscience,draft-generated
BIO-036,The Autonomic Nervous System,"Sympathetic, parasympathetic, and enteric regulation",Human Biology,Neuroscience,draft-generated
BIO-037,The Sensory Systems,How the body detects and interprets internal and external signals,Human Biology,Neuroscience,draft-generated
BIO-038,Pain Biology,"Nociception, pain perception, sensitization, and modulation",Human Biology,Neuroscience,draft-generated
BIO-039,"Learning, Memory, and Neuroplasticity",How experience changes brain structure and function,Human Biology,Neuroscience,draft-generated
BIO-040,Sleep and the Brain,"Neural regulation, sleep stages, and restorative functions",Human Biology,Neuroscience,draft-generated
